#       freq (microHz)    spectrum (ppm2/microHz)   smooth spectrum (scoef1)    smooth spectrum (scoef2)    model spectrum (ppm2/microHz)
         5.787572923        0.7299345511        0.9303859162        0.9191330259            1.000004
         5.864740562         2.803854753        0.9915667578        0.9085983385            1.000004
         5.941908201         0.407696118         1.185251752        0.9556813909            1.000004
          6.01907584        0.7995215867         1.006077238        0.9599695308            1.000004
         6.096243479       0.01323649319        0.3479593868          0.95419146            1.000004
         6.173411118        0.1713833493        0.4153438289        0.9502984557            1.000004
         6.250578757        0.6772338865        0.4549310046        0.8219939309            1.000004
         6.327746396        0.9578702893        0.5178144926        0.9317042258            1.000004
         6.404914035        0.2647704454        0.6232083391        0.9910229378            1.000004
         6.482081674         0.592958735        0.8138795221        0.9920708573            1.000004
         6.559249313         1.439918619        0.9893257789        0.9929285234            1.000004
         6.636416952         1.659655316         1.031592828        0.9958056476            1.000004
         6.713584591        0.4338386407         2.219656186        0.9970968903            1.000004
          6.79075223         5.345212167         2.162558965        0.9729391653            1.000004
         6.867919869         1.211529737         2.146939334        0.9659677605            1.000004
         6.945087508         1.597176794         2.077487223         1.003745844            1.000004
         7.022255147        0.1560301959        0.8066689311        0.9813650824            1.000004
         7.099422786        0.2619389986        0.5624549571        0.9818060679            1.000004
         7.176590425        0.2346738404        0.3250239583         1.041608989            1.000004
         7.253758064        0.6474527981        0.3254286494         1.065124307            1.000004
         7.330925703        0.1576489605        0.9260886921         1.079807903            1.000004
         7.408093342         2.664579169        0.9395821433         1.063158787            1.000004
         7.485260981        0.2886476454         1.096166165         1.036585312            1.000004
          7.56242862         1.273788885         1.089396665         1.036082973            1.000004
         7.639596259        0.1305709599        0.5230933185         1.027946367            1.000004
         7.716763898        0.3993657835         1.624455803         1.038814182            1.000004
         7.793931537         4.694097583         1.976133625         1.042342787            1.000004
         7.871099176         2.680500175         1.995005128         1.030823874            1.000004
         7.948266815        0.2060569698         1.906969282         1.037112865            1.000004
         8.025434454        0.0472223996        0.8147467612         1.072554532            1.000004
         8.102602093        0.3252075007        0.2306597084         1.062651844            1.000004
         8.179769732        0.3441519633        0.1921813485         1.028580644            1.000004
         8.256937371       0.05214353028         0.539652957        0.9953346555            1.000004
          8.33410501         1.437108834         1.387141306         1.053571271            1.000004
         8.411272649         3.715160898          1.32934005        0.9233443261            1.000004
         8.488440288        0.1129469364          1.34685838        0.9039495359            1.000004
         8.565607927          0.12221685         1.592406887        0.8955075898            1.000004
         8.642775566         2.419302863        0.9395130279         0.903055868            1.000004
         8.719943205         1.103585462         1.064307651        0.9218588277            1.000004
         8.797110844        0.6121254287         1.049745915        0.9327057291            1.000004
         8.874278483       0.06396990703        0.8801491453        0.9460305698            1.000004
         8.951446122         1.740915783        0.7011534166        0.9567279227            1.000004
         9.028613761        0.3876025476        0.6666363902        0.9299939644            1.000004
           9.1057814        0.4740573232        0.7626311913        0.9464425477            1.000004
         9.182949038        0.4479491113        0.4055341328         0.959306054            1.000004
         9.260116677         0.312527549         0.362752837        0.9819425584            1.000004
         9.337284316        0.2164773644        0.5465959844        0.9727292856            1.000004
